realtime,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
DE_target_Biomass,0.065947481,0.068843691,0.071489052,0.073881085,0.076024442,0.077929357,0.079610111,0.081083608,0.082368167,0.083482538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_target_Offshore,0.04977272,0.057525117,0.066016716,0.07518178,0.084917542,0.095086255,0.105521443,0.116038004,0.126445005,0.13655935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_target_Onshore,0.144347663,0.158270196,0.172461672,0.186747655,0.200949015,0.214890825,0.228410819,0.241366558,0.253640696,0.26514399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_target_PV,0.070689112,0.0795932,0.089117373,0.099187533,0.109705463,0.120551574,0.131589709,0.142673661,0.153654784,0.164389883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_target_Rest,0.037119546,0.038487292,0.039749906,0.040906764,0.041959466,0.042911417,0.043767404,0.044533194,0.045215179,0.045820072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_target_Total,0.360723183,0.396484978,0.433350636,0.470924311,0.508778154,0.546471407,0.583570728,0.61966981,0.654406426,0.687475474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_Biomass,0.116000146,0.117214503,0.118066327,0.118660634,0.119073716,0.119360084,0.119558247,0.119695202,0.119789772,0.119855035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_Offshore,0.149103124,0.176134368,0.204080045,0.231867242,0.258446965,0.282946027,0.304767361,0.32361888,0.339479733,0.352530131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_Onshore,0.038516085,0.044807753,0.051797513,0.059459878,0.067737657,0.076540222,0.085745103,0.095203343,0.104748392,0.114207502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_PV,0.052445847,0.060818664,0.069849408,0.079396929,0.089279756,0.099288427,0.109202605,0.118810138,0.127924649,0.136398687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_Rest,0.021349966,0.026422013,0.032040742,0.038006725,0.044062958,0.049936645,0.055386577,0.060239489,0.064404986,0.067869224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL_target_Total,0.335210352,0.375113687,0.416743891,0.459541327,0.502878338,0.546094882,0.588538196,0.629601558,0.668757344,0.705580791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0