timestep,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
limit_DE_Biomass,24601958.27326218,26491838.42485606,28329948.92324314,30096206.300703026,31774577.60601001,33353434.263951343,34825522.86545426,36187625.5891384,37440007.19252206,38585748.27946407,39630051.519975334,40579585.963598475,41441911.06665405,42225001.04415701,42936873.941852644,43585318.916883774,44177709.02826165,44720884.282922395,45221089.59658296,45683953.70582947,46114497.150669746,46517159.723847955,46895839.94769476,47253941.0341476,47594419.35123881,47919832.66173705,48232386.3499316,48533976.556806386,48826229.650010966,49110537.8072005,49388090.72716996,49659903.633466005,49926841.82396322,50189642.06568265,50448931.15070346,50705241.926430166,50959027.0989567,51210671.086879775,51460500.17812372,51708791.21647851,51955779.01910012,52201662.70209344,52446611.06900179,52690767.196791165,52934252.33581362,53177169.22419583,53419604.90301289,53661633.10631698,53903316.28941493,54144707.34956583,54385851.08531969,54626785.43388809,54867542.52008829,55108149.54539024,55348629.54132405
limit_DE_Offshore,12409086.90401647,14739023.940017756,17428158.61510192,20502887.048626076,23981312.633271713,27869804.299380865,32159702.70049059,36824717.48218893,41819621.25132573,47080772.2639034,52528758.00731739,58073071.22117979,63618298.95891071,69070955.65090287,74345942.47326033,79371719.61017948,84093594.33222568,88474943.8113916,92496577.02303569,96154700.19303527,99458051.96762738,102424740.11750035,105079193.15517528,107449492.45691614,109565213.74742894,111455802.27390835,113149438.74174921,114672318.37576905,116048254.55921777,117298522.47409004,118441869.82641006,119494636.11767271,120470936.03207587,121382874.83965367,122240773.72292428,123053390.62841019,123828127.9047443,124571221.9923858,125287913.15208532,125982594.99018455,126658944.62730767,127320034.97105525,127968430.84802693,128606270.83797751,129235336.61211033,129857111.46254578,130472829.55706717,131083517.28576307,131690027.89871214,132293070.47499475,132893234.11760259,133491008.1382647,134086798.88118973,134680943.7346304,135273722.79293054
limit_DE_Onshore,44403278.773954436,50083698.42934161,56194424.64103691,62699657.006808184,69549070.96555743,76678842.58128737,84013814.53380387,91470694.9931063,98962022.96722306,106400509.3641484,113703302.69780603,120795746.93546219,127614290.69349521,134108347.81391375,140241065.5186697,145989095.19143656,151341559.6175734,156298460.23154083,160868772.1662107,165068445.40019765,168918481.67546123,172443202.4251628,175668772.40868267,178622002.61588582,181329426.22280982,183816622.43865886,186107753.1212319,188225273.73280364,190189781.33697218,192019966.05750173,193732637.36102664,195342801.7576572,196863773.46955353,198307303.99739793,199683720.20030397,201002063.49098262,202270225.0931337,203495074.09940293,204682576.40110916,205837903.52646533,206965531.1028495,208069327.11902043,209152630.46048492,210218320.36943543,211268877.57388282,212306437.8646151,213332838.89274946,214349660.92906815,215358262.27919906,216359809.99328974,217355306.4500429,218345612.33621073,219331466.48603216,220313502.9919066,221292265.94860008
limit_DE_PV,19750983.46430031,22778748.710188493,26166173.72791445,29925160.726469174,34059173.26545166,38561362.80424427,43413068.59889193,48582953.074658394,54027010.245658524,59689606.61166551,65505585.91327575,71403310.91226578,77308360.22699262,83147484.03618973,88852379.10824059,94362882.311442,99629290.90305224,104613667.72311957,109290143.01679383,113644349.99842621,117672209.65061228,121378308.07443547,124774095.46444583,127876094.2001515,130704249.99086416,133280506.76786546,135627640.8130523,137768355.84549862,139724618.65783146,141517202.7311695,143165402.62643984,144686882.39784238,146097624.7249513,147411952.35376987,148642598.71671322,149800809.62371302,150896462.3444786,151938192.10476518,152933518.9933387,153888970.58647272,154810197.33909214,155702079.06917796,156568821.7717517,157414044.62542906,158240857.46868223,159051929.28110498,159849548.35126105,160635674.88077143,161411986.7892466,162179919.46497795,162940700.1651875,163695377.71647638,164444848.10737723,165189876.50489888,165931116.16849798
limit_DE_Rest,14467385.04336701,15367236.835097257,16240830.817593189,17081724.000773024,17884806.081000675,18646347.306926534,19363961.864727758,20036503.85802194,20663916.14965783,21247052.334982604,21787489.76487656,22287347.82243337,22749121.481691875,23175536.216047347,23569426.988534138,23933641.521236334,24270966.309054676,24584072.81191161,24875480.7801968,25147535.585231926,25402396.601197924,25642034.0063673,25868231.758100476,26082594.892738953,26286559.674352005,26481405.44707602,26668267.3272081,26848149.10288264,27021935.89468967,27190406.275612786,27354243.659452934,27514046.849639244,27670339.700618282,27823579.8867216,27974166.80261443,28122448.63843502,28268728.68419332,28413270.923978593,28556304.98261746,28698030.486843757,28838620.900685158,28978226.891309258,29116979.277484424,29254991.608435955,29392362.416459214,29529177.18234004,29665510.048534766,29801425.31123797,29936978.71894138,30072218.60188108,30207186.853869893,30341919.78541185,30476448.86467673,30610801.360849585,30745000.902548987
limit_DE_Total,110598215.35078566,124725849.07870933,140012369.5320182,156401509.4145343,173802344.5419327,192089288.3645816,211104528.34764764,230662997.7212526,250559652.3419858,270578494.60635656,290502523.1173372,310123647.7549519,329251626.9396929,347721251.25068134,365397273.68641967,382176908.6773514,397990024.2756446,412797384.6597971,426587437.7160986,439372184.4831501,451182631.60232097,462064241.6083231,472072686.4117665,481270098.96458346,489721921.56332487,497494373.8253571,504652510.5787666,511258807.5439307,517372196.7292219,523047469.4347669,528334968.55595976,533280500.17791975,537925404.7998542,542306739.2661779,546457530.5942079,550407071.8371098,554181237.6919603,557802803.7481204,561291758.1790587,564665598.4760166,567939608.6860487,571127114.7259015,574239716.8549466,577287499.4401039,580279218.8452467,583222470.7167147,586123838.1860193,588989022.6252556,591822958.6114181,594629914.7139188,597413581.6376991,600177149.148986,602923373.0936048,605654633.6968356,608372986.2146295
limit_NL_Biomass,10085954.421148172,10705242.123480486,11223492.112780731,11660268.04142883,12034086.233162673,12360680.408246951,12652580.446377732,12919358.7636621,13168130.113113955,13404085.523997046,13630964.900910314,13851439.357076954,14067405.188367853,14280202.966363916,14490777.58535886,14699793.638682954,14907717.853646893,15114877.63199512,15321502.446539313,15527753.02793218,15733741.899500981,15939547.802865952,16145225.820499882,16350814.472803395,16556340.690723194,16761823.29804806,16967275.449007332,17172706.33397334,17378122.37265249,17583528.048528608,17788926.492275562,17994319.889563736,18199709.76605638,18405097.186538678,18610482.894024186,18815867.406912796,19021251.086837318,19226634.18603408,19432016.88041103,19637399.29262839,19842781.50820502,20048163.58675703,20253545.569837987,20458927.48640803,20664309.356647782,20869691.19461832,21075073.01011583,21280454.809964202,21485836.59891644,21691218.3802827,21896600.156368177,22101981.92877786,22307363.69862921,22512745.466700085,22718127.23353207
limit_NL_Offshore,6282003.812517737,8041631.977744577,10160334.450341146,12644015.354988215,15468255.047702959,18573986.71134905,21870242.39477664,25244902.173985723,28581146.104712855,31774715.924866777,34746856.012892805,37450016.50060537,39866500.168004625,42002422.5232419,43879903.13159836,45529729.8556598,46985655.22226756,48280586.037054524,49444413.3566064,50503045.340740584,51478216.27076509,52387736.67562027,53245953.97982519,54064280.52398618,54851708.74373723,55615274.29281577,56360452.511345096,57091487.232833736,57811657.63579775,58523491.534252584,59228933.993975215,59929479.56381198,60626275.357570425,61320201.055193335,62011930.78302399,62701980.85574315,63390746.53840565,64078530.311133206,64765563.57506873,65452023.306135215,66138044.82313634,66823731.57100568,67509162.61335419,68194398.36836831,68879484.99841931,69564457.76839982,70249343.61441714,70934163.10806768,71618931.95821214,72303662.1589346,72988362.86689651,73673041.07176465,74357702.10844314,75042350.04837973,75726987.99845494
limit_NL_Onshore,1937413.8751608147,2337499.4641656675,2808612.476679464,3358890.0757979313,3995735.404704346,4725134.658340693,5550881.563329814,6473785.534272695,7490975.442179089,8595433.72212183,9775891.796433091,11017177.950264331,12301034.106600937,13607324.106475217,14915470.169165742,16205904.388527699,17461325.089745313,18667600.98935626,19814249.273509275,20894499.421140578,21905019.81670498,22845417.756863207,23717626.567566507,24525275.3451981,25273108.651296563,25966494.678415645,26611036.60963047,27212285.248306666,27775541.230005246,28305730.786587156,28807338.362259347,29284380.839191563,29740410.571399428,30178537.107205756,30601459.98357735,31011507.10641674,31410674.93580853,31800667.997119803,32182936.19527964,32558709.087945785,32929026.73776456,33294767.069638327,33656669.85023886,34015357.51821774,34371353.15023907,34725095.868687384,35076953.99486099,35427236.235803984,35776201.16985686,36124065.26960219,36471009.67376968,36817185.89343059,37162720.61336856,37507719.7273041,37852271.72584127
limit_NL_PV,2593853.771768629,3155108.4009055877,3812808.6611109436,4573590.42963739,5440836.688347742,6413541.435828271,7485413.30632877,8644462.6363228,9873274.222173491,11150047.237228066,12450306.973382628,13749017.448926687,15022717.295160346,16251306.70494773,17419224.8541019,18515925.38384194,19535717.711658616,20477146.772934373,21342118.699436437,22134958.377860494,22861532.90706648,23528517.093140658,24142828.73731498,24711228.547472887,25240061.473127797,25735109.50521364,26201526.323186085,26643828.16273643,27065920.56165963,27471145.850727797,27862340.738469012,28241896.886546347,28611820.0181724,28973784.982628122,29329185.479192298,29679177.97767134,30024719.888432123,30366602.33178689,30705478.00820383,31041884.729442514,31376265.172461767,31708983.387094855,32040338.540858835,32370576.3298815,32699898.429850344,33028470.30859005,33356427.674138416,33683881.78976137,34010923.850333534,34337628.58264817,34664057.2050801,34990259.85907707,35316277.60567683,35642144.064118706,35967886.75618429
limit_NL_Rest,756053.9005353957,1007479.0635848128,1328366.1126695531,1728769.2037462627,2214887.9542563767,2786293.920224628,3433646.802963114,4138040.610619674,4872836.594992645,5607863.529693948,6314683.497365388,6971070.019495749,7563342.176964237,8086321.121248893,8541619.438011397,8935284.697496472,9275597.82074044,9571421.211174518,9831161.1715225745,10062234.93071039,10270883.674883835,10462190.4039195,10640200.537269827,10808080.87467603,10968280.828430211,11122678.3670192,11272704.054979824,11419442.443082217,11563712.841095798,11706132.542832809,11847165.70787214,11987160.82176162,12126379.220617292,12265016.710386707,12403219.896107912,12541098.484023377,12678734.531944914,12816189.394805893,12953508.933873633,13090727.420338007,13227870.458542867,13364957.173895445,13502001.849707266,13639015.151324954,13776005.04133376,13912977.463619135,14049936.854546677,14186886.524874903,14323828.945037981,14460765.958210992,14597698.939414404,14734628.914305806,14871556.647861047,15008482.710567856,15145407.5278281
limit_NL_Total,19422052.361350767,22673458.457545165,26316548.42846802,30353869.325211152,34775389.614085,39557053.66192001,44660368.04273017,50033267.84467086,55612335.24312631,61326217.954743035,67099875.427527264,72859126.01908398,78534923.22459674,84066863.78591761,89405598.6161824,94514027.37180336,99367353.64434774,103952219.4128712,108265207.86271787,112311008.45858052,116100496.44181123,119648913.67444424,122974268.49997866,126096011.81630085,129034000.83146699,131807731.84662527,134435806.7337474,136935591.19147468,139323022.97740608,141612532.2996971,143817042.328834,145948023.9965029,148015585.08476177,150028578.68143615,151994720.25448656,153920705.89906085,155812326.8335475,157674577.09231037,159511752.71209255,161327541.65356275,163125104.33837825,164907145.0959434,166675975.06567687,168433567.23820513,170181604.37829,171921520.57981437,173654537.17760772,175381693.69566238,177103874.4555782,178821831.409047,180536203.6979706,182247534.3878855,183956284.76628348,185662846.54788172,187367552.28425077
